dataset_id,file_code,NCBI_SRA_accession,NCBI_SRA_biosample,sample_code,DNA_RNA,fraction_name,sample_fixation,reads_total,reads_corrected_total,reads_corrected_photo,reads_final,project,cruise,station_id,date,depth_level,depth,elevation,substrate,latitude,longitude,site_name,country,oceanic_region,biome,vegetation,climate,bottom_depth,temperature,salinity,ice_coverage,Chla,NO3,NH4,PO4,Si,dataset_code,dataset_name,gene,gene_region,organelle,region,ecosystem,ecosystem_climate,substrate_type,label
2,OSD110_2015-06_1,,,OSD110_2015_1,DNA,total,,58594,57960,5981,,OSD,,110,2015-06-21,surface,0,,water,40.1451,-8.86933,Figueira da Foz,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-110-surface-water
2,OSD111_2015-06_1,,,OSD111_2015_1,DNA,total,,73876,72865,31771,,OSD,,111,2015-06-21,surface,0,,water,40.6599,-8.70376,Ria de Aveiro_1,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-111-surface-water
2,OSD113_2015-06_1,,,OSD113_2015_1,DNA,total,,43238,43101,15463,,OSD,,113,2015-06-21,surface,0,,water,38.6667,-9.4367,CascaisWatch,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-113-surface-water
2,OSD114_2015-06_1,,,OSD114_2015_1,DNA,total,,72799,72325,11946,,OSD,,114,2015-06-21,surface,0,,water,34.41,-9.51,BerlengasWatch,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-114-surface-water
2,OSD115_2015-06_1,,,OSD115_2015_1,DNA,total,,92818,92290,16593,,OSD,,115,2015-06-21,surface,0,,water,39.1343,-9.38478,Santa Cruz,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-115-surface-water
2,OSD116_2015-06_1,,,OSD116_2015_1,DNA,total,,6303,5899,1902,,OSD,,116,2015-06-21,surface,0,,water,39.4151,-9.21883,Lagoa de Ã“bidos,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-116-surface-water
2,OSD119_2015-06_1,,,OSD119_2015_1,DNA,total,,42306,41493,4998,,OSD,,119,2015-06-21,surface,0,,water,21.3742,-89.6712,Progreso,,Gulf of Mexico,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-119-surface-water
2,OSD120_2015-06_1,,,OSD120_2015_1,DNA,total,,24595,24055,13932,,OSD,,120,2015-06-21,surface,0,,water,21.4934,-88.8468,Dzilam,,Gulf of Mexico,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-120-surface-water
2,OSD121_2015-06_1,,,OSD121_2015_1,DNA,total,,2131,2032,90,,OSD,,121,2015-06-21,surface,0,,water,20.8842,-90.4968,Celestun,,Gulf of Mexico,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-121-surface-water
2,OSD122_2015-06_1,,,OSD122_2015_1,DNA,total,,85845,84923,4023,,OSD,,122,2015-06-21,surface,0,,water,29.4667,34.9291,Station A Gulf Of Eilat,,Gulf of Aqaba,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-122-surface-water
2,OSD123_2015-06_1,,,OSD123_2015_1,DNA,total,,87852,86061,12311,,OSD,,123,2015-06-21,surface,0,,water,32.822,32.954,Shikmona,,Mediterranean Sea - Eastern Basin,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-123-surface-water
2,OSD124_2015-06_1,,,OSD124_2015_1,DNA,total,,71323,70539,19145,,OSD,,124,2015-06-21,surface,0,,water,34.3244,135.121,Osaka Bay,,Japan Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-124-surface-water
2,OSD125_2015-06_1,,,OSD125_2015_1,DNA,total,,2675,2487,909,,OSD,,125,2015-06-21,surface,0,,water,55.0331,-1.43278,Cullercoats Beach,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-125-surface-water
2,OSD13_2015-06_1,,,OSD13_2015_1,DNA,total,,35295,34961,14637,,OSD,,13,2015-06-21,surface,0,,water,43.1758,27.9086,Varna Bay,,Black Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-13-surface-water
2,OSD131_2015-06_1,,,OSD131_2015_1,DNA,total,,121723,120924,35374,,OSD,,131,2015-06-21,surface,0,,water,42.2449,27.4008,Zlatna ribka,,Black Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-131-surface-water
2,OSD132_2015-06_1,,,OSD132_2015_1,DNA,total,,87220,85459,38232,,OSD,,132,2015-06-21,surface,0,,water,32.0694,34.843,Sdot YAM,,Mediterranean Sea - Eastern Basin,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-132-surface-water
2,OSD133_2015-06_1,,,OSD133_2015_1,DNA,total,,29949,29129,11905,,OSD,,133,2015-06-21,surface,0,,water,-33.8971,18.3868,Robben Island,,South Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-133-surface-water
2,OSD14_2015-06_1,,,OSD14_2015_1,DNA,total,,60730,60206,10376,,OSD,,14,2015-06-21,surface,0,,water,42.49,3.15,Banyuls,,Mediterranean Sea - Western Basin,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-14-surface-water
2,OSD140_2015-06_1,,,OSD140_2015_1,DNA,total,,42859,42802,1351,,OSD,,140,2015-06-21,surface,0,,water,37.2156,9.92983,Bizerte lagoon STL,,Mediterranean Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-140-surface-water
2,OSD141_2015-06_1,,,OSD141_2015_1,DNA,total,,143211,143029,21690,,OSD,,141,2015-06-21,surface,0,,water,60.1612,5.11504,Raunefjorden,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-141-surface-water
2,OSD142_2015-06_1,,,OSD142_2015_1,DNA,total,,74261,73321,3776,,OSD,,142,2015-06-21,surface,0,,water,31.3836,-80.8667,Grayâs Reef National Marine Sanctuary,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-142-surface-water
2,OSD143_2015-06_1,,,OSD143_2015_1,DNA,total,,53975,53115,40429,,OSD,,143,2015-06-21,surface,0,,water,31.9828,-81.0167,Skidaway Institute of Oceanography,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-143-surface-water
2,OSD147_2015-06_1,,,OSD147_2015_1,DNA,total,,13342,12829,5095,,OSD,,147,2015-06-21,surface,0,,water,8.5216,81.0521,Rajarata,,Bay of Bengal,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-147-surface-water
2,OSD148_2015-06_1,,,OSD148_2015_1,DNA,total,,66935,66637,1850,,OSD,,148,2015-06-21,surface,0,,water,53.5809,8.14864,Wadden Sea,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-148-surface-water
2,OSD15_2015-06_1,,,OSD15_2015_1,DNA,total,,35224,34782,7034,,OSD,,15,2015-06-21,surface,0,,water,43.6861,7.31567,Villefranche - SOMLIT,,Mediterranean Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-15-surface-water
2,OSD15_2015-06_2,,,OSD15_2015_2,DNA,total,,24269,23840,2296,,OSD,,15,2015-06-21,surface,0,,water,43.6861,7.31567,Villefranche - SOMLIT,,Mediterranean Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-15-surface-water
2,OSD152_2015-06_1,,,OSD152_2015_1,DNA,total,,95531,95231,63933,,OSD,,152,2015-06-21,surface,0,,water,44.6936,-63.6403,Compass Buoy Station - Bedford Basin,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-152-surface-water
2,OSD152_2015-06_2,,,OSD152_2015_2,DNA,total,,115921,115621,72858,,OSD,,152,2015-06-21,surface,0,,water,44.6936,-63.6403,Compass Buoy Station - Bedford Basin,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-152-surface-water
2,OSD152_2015-06_3,,,OSD152_2015_3,DNA,total,,45358,45154,34312,,OSD,,152,2015-06-21,surface,0,,water,44.6936,-63.6403,Compass Buoy Station - Bedford Basin,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-152-surface-water
2,OSD153_2015-06_1,,,OSD153_2015_1,DNA,total,,131249,130769,93865,,OSD,,153,2015-06-21,surface,0,,water,36.9977,-7.97312,Faro Island,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-153-surface-water
2,OSD157_2015-06_1,,,OSD157_2015_1,DNA,total,,65463,65278,35355,,OSD,,157,2015-06-21,surface,0,,water,44.6667,-1.16666,Arcachon-SOMLIT,,Bay of Biscay,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-157-surface-water
2,OSD159_2015-06_1,,,OSD159_2015_1,DNA,total,,38214,37629,8601,,OSD,,159,2015-06-21,surface,0,,water,48.359,-4.552,Brest-SOMLIT,,Celtic Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-159-surface-water
2,OSD16_2015-06_1,,,OSD16_2015_1,DNA,total,,113260,112827,16652,,OSD,,16,2015-06-21,surface,0,,water,58.876,11.148,Kristineberg,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-16-surface-water
2,OSD162_2015-06_1,,,OSD162_2015_1,DNA,total,,42560,42433,2482,,OSD,,162,2015-06-21,surface,0,,water,56.9631,-2.1031,Stonehaven,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-162-surface-water
2,OSD163_2015-06_1,,,OSD163_2015_1,DNA,total,,41270,40303,8094,,OSD,,163,2015-06-21,surface,0,,water,58.957,-2.9726,Scapa,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-163-surface-water
2,OSD164_2015-06_1,,,OSD164_2015_1,DNA,total,,56987,56697,8470,,OSD,,164,2015-06-21,surface,0,,water,60.1433,-1.2825,Scalloway,,,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-164-surface-water
2,OSD165_2015-06_1,,,OSD165_2015_1,DNA,total,,130707,128906,118896,,OSD,,165,2015-06-21,surface,0,,water,57.8498,-5.6495,Loch Ewe,,Inner Seas off the West Coast of Scotland,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-165-surface-water
2,OSD166_2015-06_1,,,OSD166_2015_1,DNA,total,,38755,38491,14440,,OSD,,166,2015-06-21,surface,0,,water,43.4325,2.89966,Armintza,,Mediterranean Sea - Western Basin,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-166-surface-water
2,OSD168_2015-06_1,,,OSD168_2015_1,DNA,total,,44953,44690,29447,,OSD,,168,2015-06-21,surface,0,,water,38.4133,27.0342,IMST_izmir,,Aegean Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-168-surface-water
2,OSD169_2015-06_1,,,OSD169_2015_1,DNA,total,,48959,48011,35253,,OSD,,169,2015-06-21,surface,0,,water,51.7961,1.01296,"Brightlingsea Creek, Essex",,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-169-surface-water
2,OSD17_2015-06_1,,,OSD17_2015_1,DNA,total,,111769,111733,456,,OSD,,17,2015-06-21,surface,0,,water,51.4347,2.81087,VLIZ,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-17-surface-water
2,OSD170_2015-06_1,,,OSD170_2015_1,DNA,total,,90630,90046,16355,,OSD,,170,2015-06-21,surface,0,,water,51.2695,2.9047,130,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-170-surface-water
2,OSD171_2015-06_1,,,OSD171_2015_1,DNA,total,,48759,48688,1572,,OSD,,171,2015-06-21,surface,0,,water,51.3073,2.84933,230,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-171-surface-water
2,OSD172_2015-06_1,,,OSD172_2015_1,DNA,total,,110724,109928,48394,,OSD,,172,2015-06-21,surface,0,,water,51.3749,3.21833,700,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-172-surface-water
2,OSD173_2015-06_1,,,OSD173_2015_1,DNA,total,,55878,55623,16489,,OSD,,173,2015-06-21,surface,0,,water,51.441,3.13995,710,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-173-surface-water
2,OSD174_2015-06_1,,,OSD174_2015_1,DNA,total,,116402,116136,18986,,OSD,,174,2015-06-21,surface,0,,water,51.4716,3.05917,780,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-174-surface-water
2,OSD175_2015-06_1,,,OSD175_2015_1,DNA,total,,62664,62659,935,,OSD,,175,2015-06-21,surface,0,,water,51.3348,2.50215,ZG02,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-175-surface-water
2,OSD176_2015-06_1,,,OSD176_2015_1,DNA,total,,210118,210015,2865,,OSD,,176,2015-06-21,surface,0,,water,51.2777,2.6135,215,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-176-surface-water
2,OSD177_2015-06_1,,,OSD177_2015_1,DNA,total,,51824,51775,11814,,OSD,,177,2015-06-21,surface,0,,water,51.1857,2.70167,120,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-177-surface-water
2,OSD178_2015-06_1,,,OSD178_2015_1,DNA,total,,42785,42773,1316,,OSD,,178,2015-06-21,surface,0,,water,51.5803,2.7897,435,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-178-surface-water
2,OSD179_2015-06_1,,,OSD179_2015_1,DNA,total,,69371,69223,11336,,OSD,,179,2015-06-21,surface,0,,water,51.5687,2.256,LW01,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-179-surface-water
2,OSD18_2015-06_1,,,OSD18_2015_1,DNA,total,,57957,56221,4191,,OSD,,18,2015-06-21,surface,0,,water,35.3637,33.2896,Kyrenia,,Mediterranean Sea - Eastern Basin,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-18-surface-water
2,OSD180_2015-06_1,,,OSD180_2015_1,DNA,total,,53190,53089,33272,,OSD,,180,2015-06-21,surface,0,,water,51.8,2.556,LW02,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-180-surface-water
2,OSD181_2015-06_1,,,OSD181_2015_1,DNA,total,,106365,106326,582,,OSD,,181,2015-06-21,surface,0,,water,51.588,3.01252,W07bis,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-181-surface-water
2,OSD182_2015-06_1,,,OSD182_2015_1,DNA,total,,103576,103311,25760,,OSD,,182,2015-06-21,surface,0,,water,51.4584,2.35047,W08,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-182-surface-water
2,OSD183_2015-06_1,,,OSD183_2015_1,DNA,total,,93125,93045,21152,,OSD,,183,2015-06-21,surface,0,,water,51.7483,2.698,W09,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-183-surface-water
2,OSD184_2015-06_1,,,OSD184_2015_1,DNA,total,,67418,67394,13266,,OSD,,184,2015-06-21,surface,0,,water,51.6829,2.4152,W10,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-184-surface-water
2,OSD185_2015-06_1,,,OSD185_2015_1,DNA,total,,58313,58230,11281,,OSD,,185,2015-06-21,surface,0,,water,51.4816,2.45148,421,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-185-surface-water
2,OSD192_2015-06_1,,,OSD192_2015_1,DNA,total,,49344,49066,21540,,OSD,,192,2015-06-21,surface,0,,water,58.8779,11.1261,Tjärnö,,North Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-192-surface-water
2,OSD195_2015-06_1,,,OSD195_2015_1,DNA,total,,14772,14314,12084,,OSD,,195,2015-06-21,surface,0,,water,41.3836,16.1277,Saline di Margherita di Savoia,,Adriatic Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-195-surface-water
2,OSD196_2015-06_1,,,OSD196_2015_1,DNA,total,,48888,46636,1833,,OSD,,196,2015-06-21,surface,0,,water,-26.448,114.095,Shark Bay,,Indian Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-196-surface-water
2,OSD197_2015-06_1,,,OSD197_2015_1,DNA,total,,47976,43361,10434,,OSD,,197,2015-06-21,surface,0,,water,29.2801,48.089,Anjafa Beach,,Indian Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-197-surface-water
